name,online_order,book_table,rate,votes,location,cuisines,cost_for_two,normalized_rating
soul indian specialty - svenska design hotel,yes,yes,3.7,266,electronic city,"north indian, south indian, asian, italian, continental",2000,3.8409452517014575
melange - hotel ekaa,yes,yes,3.2,426,electronic city,"north indian, chinese, continental, mangalorean",900,3.60933144612404
spotlight - the golden tulip,no,yes,2.5,118,electronic city,"north indian, chinese, continental",850,3.670648914962128
ritz,no,no,3.5,43,electronic city,"north indian, chinese, thai, continental",800,3.8769559632620645
the dining table - sahar pavillion,no,yes,3.7,74,electronic city,"chinese, continental, north indian, pizza, south indian",1500,3.8816392191099984
cafe happytizing,yes,no,4.1,351,electronic city,"cafe, sandwich, pizza, north indian, mexican",700,3.9772718478855076
biggies burger 'n' more,yes,no,3.9,176,electronic city,"cafe, burger, beverages",650,3.9033768979245744
this cafe has no name cafe,yes,no,3.2,79,electronic city,"cafe, beverages",500,3.821328478668879
she brews,yes,no,3.8,159,electronic city,"cafe, continental, thai, chinese",400,3.882253440944199
rags on fire,yes,no,3.1,64,electronic city,cafe,600,3.8257863827605325
chef baker's,yes,no,3.8,101,electronic city,"bakery, fast food, pizza, burger, cafe",600,3.8891475154742032
cuppa,yes,no,3.0,119,electronic city,"cafe, fast food, continental",700,3.7528029305748576
entree cafe,yes,no,3.7,56,electronic city,"cafe, bakery, desserts",400,3.886692551326351
magic oven,no,no,4.0,134,electronic city,"cafe, desserts",400,3.9220552837353777
the hungry shark cafe,no,no,3.9,117,electronic city,"cafe, continental, beverages",700,3.903658306084956
lassi adda,yes,no,4.0,65,electronic city,"beverages, sandwich, fast food",200,3.913856830347788
freshmenu,yes,no,3.0,546,south bangalore,"healthy food, chinese, biryani, north indian, continental, salad, american, burger",450,3.470088021731002
lassi resto cafe,yes,no,3.7,152,electronic city,"beverages, fast food",200,3.8625707681132555
delhi base sri food court,yes,no,3.9,505,electronic city,"north indian, south indian, chinese, street food",250,3.9023632123249534
wakhra swaad,yes,no,3.4,83,electronic city,"north indian, biryani, rolls, beverages",300,3.8422701494186184
indian food court,yes,no,3.8,234,electronic city,"north indian, chinese, fast food",400,3.8747758554038167
fresh 'n' grills,yes,no,3.2,234,electronic city,"sandwich, salad, north indian, chinese",500,3.7045940372219985
new punjabi food corner,yes,yes,4.0,960,electronic city,"north indian, chinese",500,3.96356549368675
box8- desi meals,yes,no,4.2,564,electronic city,"north indian, mughlai, fast food",500,4.048736000613116
swad 'e' punjab,yes,no,3.6,216,electronic city,"north indian, chinese, mughlai",500,3.822912119836616
popular burger,yes,no,4.1,150,electronic city,"fast food, burger",200,3.9439812155305654
moriz restaurant,yes,no,3.1,1365,electronic city,"arabian, seafood, north indian, chinese, bbq, biryani, beverages",700,3.3430419635522233
burger king,yes,no,3.8,560,electronic city,"burger, fast food, beverages",600,3.8535969424049945
insomniac's delight,yes,no,4.0,231,electronic city,"fast food, north indian",300,3.931253139547626
maa reddy's hyderabadi biryani house,yes,no,3.7,945,electronic city,"biryani, andhra, north indian",500,3.7786393754610343
paradise,yes,no,4.0,2043,electronic city,"biryani, north indian, kebab",800,3.9785459683781883
biryani darbar,yes,no,3.6,539,electronic city,"biryani, mughlai, north indian",800,3.7591947616886277
sri pillaiyar bhavan,yes,no,4.0,117,electronic city,chettinad,300,3.9201837298137696
parathe wali gali,yes,no,3.6,332,electronic city,"north indian, chinese",250,3.7948971621973446
faasos,yes,no,4.0,138,hosur road,"north indian, biryani, fast food",500,3.922482963934361
king,yes,no,3.7,570,electronic city,"north indian, chinese",300,3.804039690532428
behrouz biryani,yes,no,4.1,349,electronic city,biryani,650,3.977010724157605
hyderabadi spice,yes,no,4.0,593,electronic city,"hyderabadi, andhra, chinese, biryani",400,3.952272027625126
kfc,yes,no,3.9,682,electronic city,"burger, fast food",450,3.902034627421955
pallavi restaurant,yes,yes,3.8,490,electronic city,"biryani, chinese, andhra",500,3.8570676047253922
kolkata kitchen,yes,no,3.2,231,electronic city,"north indian, fast food, biryani",400,3.706435621299451
thalassery restaurant,yes,no,3.8,571,electronic city,"kerala, biryani, south indian, north indian, chinese, seafood, juices",600,3.8530895703168238
mdp coffee house,yes,no,3.8,62,electronic city,south indian,200,3.894471792814929
hot attack,yes,no,3.6,88,electronic city,"north indian, chinese, biryani",400,3.864933844931
kaaram,yes,no,3.4,52,electronic city,"andhra, biryani",500,3.863592660510341
hyderabad magic,yes,no,3.8,237,electronic city,"hyderabadi, chinese, biryani, arabian",400,3.874504928391484
ruposhi bangla,yes,no,4.0,159,electronic city,"bengali, chinese, north indian, seafood",400,3.9246534409441987
foodies express,yes,no,3.7,130,electronic city,"chinese, north indian, arabian, biryani",400,3.8675313185966003
pizza hut,yes,no,3.2,120,electronic city,"pizza, fast food",750,3.7854994102786903
pizza republic,yes,no,3.8,270,electronic city,"pizza, fast food",500,3.871649338801567
nainital north indian restaurant,yes,no,3.5,73,electronic city,north indian,400,3.8599248203435974
pure punjabi,yes,no,3.4,275,electronic city,"chinese, north indian, fast food",450,3.7442148737969387
7 days restaurant,yes,no,3.8,478,electronic city,"north indian, chinese, arabian",400,3.857708213945883
goli vada pav no. 1,yes,no,2.9,78,electronic city,street food,150,3.787279642314124
frozen bottle,yes,no,4.1,209,electronic city,"beverages, desserts",400,3.9554876008851863
doof,yes,no,4.0,371,electronic city,"fast food, beverages",450,3.9412578801540006
pimento,yes,no,3.7,95,electronic city,"chinese, fast food, italian",400,3.876078834851529
barbeque delight,yes,no,3.4,173,electronic city,"arabian, kerala, biryani, south indian, chinese, bbq",650,3.7901702627070013
the rasoiya street,yes,yes,4.2,1134,electronic city,"north indian, continental, mediterranean, chinese",800,4.098718887367043
ruchi sagar,yes,no,4.0,262,electronic city,"south indian, north indian, chinese, juices",250,3.9337515600329995
new andhra house,yes,no,3.7,522,electronic city,"andhra, biryani, chinese, north indian",450,3.80852657745566
firangi bake,yes,no,4.1,93,electronic city,"mexican, italian",600,3.9309796501581125
india garden,yes,no,3.3,211,electronic city,"north indian, chinese, fast food, beverages",550,3.7453741654715076
royal bengal corner,yes,no,3.8,307,electronic city,"chinese, fast food, north indian, rolls",250,3.868697194552504
laddoos,yes,no,4.0,407,electronic city,"north indian, street food, mithai",250,3.943376834376903
food ras,yes,yes,4.3,1386,electronic city,"north indian, chinese, japanese, european, seafood",900,4.18173499277094
ovenstory pizza,yes,no,4.0,55,hosur road,pizza,750,3.9125233447494563
magic bowl,yes,no,3.6,98,electronic city,"north indian, chinese, arabian, mughlai",700,3.8610886512454994
ny pizza & waffles,yes,no,3.1,273,electronic city,"pizza, desserts",400,3.650220000819617
sweet truth,yes,no,3.9,81,electronic city,"bakery, desserts",500,3.9038542867680786
just fresh point,yes,no,4.0,162,electronic city,"street food, american, sandwich, fast food, beverages, burger, desserts, pizza",300,3.9249536264384446
samosa singh,yes,no,4.0,426,electronic city,"street food, beverages",150,3.944434690961798
biriyani zone,yes,no,3.9,678,electronic city,"biryani, north indian, chinese, seafood",800,3.9020410407471617
volga restaurant,yes,no,3.7,294,electronic city,"north indian, chinese, middle eastern",500,3.836485966901863
the elaichi restaurant,yes,no,3.6,399,electronic city,"north indian, asian, continental, bengali, momos",700,3.781707152230453
sila restaurant,yes,no,3.8,514,electronic city,"chinese, seafood, north indian, biryani, desserts",750,3.8558281273376913
parampara - the veg kitchen,yes,no,3.7,255,electronic city,"north indian, chinese, street food",350,3.8427778731774804
kettle on,yes,no,3.7,110,electronic city,"fast food, sandwich, beverages",400,3.872311099441011
cafe coffee day,yes,no,3.2,75,electronic city,"cafe, fast food",900,3.825060181243467
just shawarma,yes,no,3.9,176,electronic city,arabian,300,3.9033768979245744
cafe palnad,yes,no,4.0,92,electronic city,"south indian, fast food",400,3.917262197230086
esfahan restaurant,yes,no,3.5,148,electronic city,"north indian, lucknowi, mughlai, biryani",700,3.823396590944721
satkar restaurant,yes,no,3.6,75,electronic city,"north indian, chinese, biryani, seafood",350,3.870105226288512
marley's bistro,yes,no,3.9,93,electronic city,"continental, european, salad, beverages, italian, burger",400,3.903786667701972
hyderabad darbar,yes,no,3.7,100,electronic city,"andhra, south indian",700,3.874804747768667
thanima garden restaurant,yes,no,3.6,163,electronic city,"north indian, chinese, kerala",500,3.8385810088967496
bhukkads,yes,no,3.2,63,electronic city,"chinese, north eastern",400,3.8365291753947233
karaikudi restaurant,yes,no,3.7,214,electronic city,south indian,300,3.850049789699564
mamaji's,yes,no,3.6,453,electronic city,north indian,600,3.7723085064254303
bangaliana,yes,no,3.0,61,electronic city,bengali,600,3.819770062435811
new food magic,yes,no,3.2,153,electronic city,"andhra, chinese, north indian, south indian",450,3.759529678371168
kittu's,yes,yes,4.2,800,electronic city,north indian,750,4.07439977045877
donut cafe,yes,no,3.9,163,electronic city,"desserts, fast food",250,3.9034351203025848
bib - breakfast in the box,yes,no,3.9,56,electronic city,"american, sandwich",600,3.904003215932224
king's appetite,yes,no,3.7,45,electronic city,"north indian, chinese",500,3.8899215105474036
thanco's natural ice creams,yes,no,3.7,54,electronic city,"ice cream, desserts",450,3.8872714429583706
a2b - adyar ananda bhavan,yes,no,3.1,352,electronic city,"south indian, north indian, chinese, street food, fast food",400,3.604125218142258
pot biryani,yes,no,2.8,297,electronic city,"north indian, chinese, biryani, seafood",600,3.5350113521488167
akkad bakkad,yes,yes,3.9,72,electronic city,"north indian, chinese",600,3.9039066074029396
sky lounge bar - svenska design hotel,yes,yes,4.0,537,electronic city,"north indian, pizza, asian, italian",1500,3.949902553819281
gilly's restobar,no,yes,4.3,1249,electronic city,"continental, north indian, chinese, salad",1200,4.172929391689211
messy's,yes,no,3.8,108,electronic city,fast food,400,3.8882547649615864
flying cakes,yes,no,3.1,127,electronic city,"bakery, desserts",500,3.762103176473745
domino's pizza,yes,no,2.7,477,electronic city,"pizza, fast food",400,3.3664701130226113
petoo,yes,no,3.6,55,electronic city,"north indian, fast food, street food",400,3.8784676171952768
kritunga restaurant,no,yes,3.8,473,electronic city,"andhra, biryani, north indian, chinese",650,3.8579793991617937
sitara veg restaurant,yes,no,3.9,417,electronic city,"south indian, north indian, chinese",400,3.902569524512052
sweet chariot,yes,no,3.0,60,electronic city,"bakery, fast food",500,3.8210293098435466
seasons,yes,no,2.9,380,electronic city,"north indian, south indian, chinese, seafood, kerala, arabian, juices",1000,3.511318311748866
cedar bar & dive - hotel presidency,yes,no,3.8,49,electronic city,"north indian, thai, chinese, continental",1200,3.8963907511064826
tap house resto bar,yes,yes,3.4,184,electronic city,"chinese, north indian, thai",900,3.784632362204063
apsara ice cream,no,no,4.0,67,electronic city,"ice cream, desserts",200,3.914118663690196
salt n pepper,no,no,3.6,74,electronic city,"north indian, chinese",500,3.8705113995611264
green family bar & restaurant,no,no,3.0,57,electronic city,"north indian, chinese, andhra",1000,3.824830371463193
chinmayee's,no,no,3.1,83,electronic city,"north indian, chinese",700,3.805326529240577
bhojanam restaurant,no,no,3.6,196,electronic city,"andhra, biryani",600,3.8285769767574953
swad,no,no,3.7,38,electronic city,"north indian, chinese",500,3.892035104464466
varenyam,no,no,3.7,56,electronic city,"south indian, north indian",500,3.886692551326351
sandesh sweets & chats,no,no,2.9,126,electronic city,"south indian, street food, beverages",350,3.727880168351672
mast kalandar,no,no,2.4,142,electronic city,north indian,450,3.6129469041038864
the breakfast club,no,no,3.9,90,electronic city,"continental, south indian, north indian",400,3.903803349057487
flavour a azam,no,no,3.5,42,electronic city,north indian,400,3.877551470313031
chung wah,no,no,2.9,95,electronic city,chinese,500,3.765291662839867
mustard food court,no,no,3.8,57,electronic city,"north indian, chinese",500,3.8952007418335635
the french loaf,yes,no,2.6,64,electronic city,"bakery, desserts, sandwich",400,3.7769314209284715
queens,no,yes,4.3,169,electronic city,"north indian, continental, british",1400,3.9923553693528278
republic of noodles - lemon tree hotel,no,yes,4.3,385,electronic city,"singaporean, chinese, thai, malaysian",1500,4.060440656463268
sherlock's pub,no,yes,3.6,180,electronic city,"continental, north indian",1300,3.8333204678445516
godavari delights,yes,no,3.9,407,electronic city,"andhra, north indian, biryani, seafood",450,3.90259527125065
the chameleon,no,no,4.1,163,electronic city,finger food,1200,3.946671194573142
the terminus - the oterra,no,yes,4.0,119,electronic city,"finger food, continental",2500,3.9204085643776745
east- the oterra,no,yes,4.0,54,electronic city,"chinese, vietnamese, thai, malaysian",2200,3.912387722028138
slounge - lemon tree hotel,no,no,3.8,76,electronic city,finger food,1500,3.8924888766239114
beijing bites,yes,yes,3.6,778,electronic city,"chinese, thai",850,3.7314025425187354
aura - radha regent,no,yes,3.6,116,electronic city,"continental, american, south indian, italian, north indian, chinese",1200,3.854441415428782
alloro - the oterra,no,yes,4.0,63,electronic city,italian,2500,3.9135933955782094
vms star biriyani,no,no,3.8,47,electronic city,biryani,500,3.8966929164704527
z-bar,no,yes,4.1,410,electronic city,"finger food, north indian",1500,3.9845055751330154
hatti punjab di,yes,no,3.0,291,electronic city,"north indian, chinese",550,3.6059978239321415
rajasthani charbhuja restaurant,no,no,4.0,170,electronic city,"north indian, chinese, rajasthani",350,3.925742550207817
the daily,yes,no,4.0,130,electronic city,"rajasthani, north indian",400,3.921622858125033
polar bear,yes,no,4.0,145,electronic city,"ice cream, desserts, beverages, sandwich",400,3.923220218353463
faasos,yes,no,4.0,506,electronic city,"north indian, biryani, fast food",500,3.948486855704785
mcdonald's play place,yes,no,3.7,123,electronic city,"burger, fast food",500,3.86917378250441
sanjeevini veg,no,no,3.9,57,electronic city,south indian,200,3.9039970381298597
marmaris,no,no,3.8,76,electronic city,"north indian, momos",300,3.8924888766239114
wow! momo,yes,no,3.6,98,electronic city,"tibetan, momos",400,3.8610886512454994
delhi's essence,yes,no,3.6,60,electronic city,north indian,500,3.8763288490140533
mambos cafe,no,no,3.9,62,frazer town,"cafe, continental, beverages, fast food",1100,3.9039664329374406
cafe arabica,no,no,4.1,147,frazer town,"cafe, bakery",700,3.94334699282947
happy belly bakes,yes,no,4.1,252,frazer town,"bakery, cafe",350,3.9628589332243758
loca moca,no,no,2.9,45,frazer town,"cafe, continental",600,3.833317736962498
the sanctuary,no,no,3.9,61,banaswadi,"cafe, fast food",450,3.9039725164235413
freshmenu,yes,no,3.6,531,north bangalore,"healthy food, chinese, biryani, north indian, continental, salad, american, burger",450,3.760329840203341
empire restaurant,yes,no,4.0,2692,rt nagar,"north indian, mughlai, south indian, chinese",750,3.982787109566905
just shawarma,yes,no,3.7,117,kammanahalli,arabian,300,3.8706074586273287
mother's kitchen,yes,no,3.7,154,rt nagar,north indian,600,3.8621343365210055
al amanah cafe,yes,no,4.4,1413,kammanahalli,"middle eastern, fast food, rolls",300,4.25383736562283
punjabi restaurant,yes,no,3.3,238,rt nagar,"north indian, chinese",400,3.7308686136407103
thalassery restaurant,yes,no,3.9,418,kammanahalli,"seafood, biryani, south indian, north indian, chinese, arabian, kerala",800,3.902566977906986
biriyani nights,yes,no,2.9,119,kammanahalli,"biryani, kebab, continental",500,3.736042367194576
